Symbol,Name,Sector
AAV.BK,Asia Aviation Public Company Limited,Industrials
ACE.BK,Absolute Clean Energy Public Company Limited,Utilities
ADVANC.BK,Advanced Info Service Public Company Limited,Communication Services
AEONTS.BK,AEON Thana Sinsap (Thailand) Public Company Limited,Financial Services
AMATA.BK,Amata Corporation Public Company Limited,Real Estate
AOT.BK,Airports of Thailand Public Company Limited,Industrials
AP.BK,AP (Thailand) Public Company Limited,Real Estate
BAM.BK,Bangkok Commercial Asset Management Public Company Limited,Financial Services
BANPU.BK,Banpu Public Company Limited,Energy
BBL.BK,Bangkok Bank Public Company Limited,Financial Services
BCH.BK,Bangkok Chain Hospital Public Company Limited,Healthcare
BCP.BK,Bangchak Corporation Public Company Limited,Energy
BCPG.BK,BCPG Public Company Limited,Utilities
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare
BEC.BK,BEC World Public Company Limited,Communication Services
BEM.BK,Bangkok Expressway and Metro Public Company Limited,Industrials
BGRIM.BK,B.Grimm Power Public Company Limited,Utilities
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare
BJC.BK,Berli Jucker Public Company Limited,Industrials
BTS.BK,BTS Group Holdings Public Company Limited,Industrials
CBG.BK,abao Group Public Company Limited,Consumer Defensive
CENTEL.BK,Central Plaza Hotel Public Company Limited,Consumer Cyclical
CHG.BK,Chularat Hospital Public Company Limited,Healthcare
CK.BK,CH. Karnchang Public Company Limited,Industrials
CKP.BK,CK Power Public Company Limited,Utilities
COM7.BK,Com7 Public Company Limited,Technology
CPALL.BK,CP ALL Public Company Limited,Consumer Defensive
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive
CPN.BK,Central Pattana Public Company Limited,Real Estate
CRC.BK,Central Retail Corporation Public Company Limited,Consumer Cyclical
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,Industrials
DOHOME.BK,Dohome Public Company Limited,Consumer Cyclical
DTAC.BK,Total Access Communication Public Company Limited,Communication Services
EA.BK,Energy Absolute Public Company Limited,Utilities
EGCO.BK,Electricity Generating Public Company Limited,Utilities
ESSO.BK,Esso (Thailand) Public Company Limited,Energy
GLOBAL.BK,Siam Global House Public Company Limited,Consumer Cyclical
GPSC.BK,Global Power Synergy Public Company Limited,Utilities
GULF.BK,Gulf Energy Development Public Company Limited,Utilities
