Symbol,Name,Sector
AJ.BK,A.J. Plast Public Company Limited,Consumer Cyclical
AMATA.BK,Amata Corporation Public Company Limited,Real Estate
BANPU.BK,Banpu Public Company Limited,Energy
BCP.BK,Bangchak Corporation Public Company Limited,Energy
BCPG.BK,BCPG Public Company Limited,Utilities
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare
BGC.BK,BG Container Glass Public Company Limited,Consumer Cyclical
BGRIM.BK,B.Grimm Power Public Company Limited,Utilities
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare
BJC.BK,Berli Jucker Public Company Limited,Industrials
BPP.BK,Banpu Power Public Company Limited,Utilities
CBG.BK,abao Group Public Company Limited,Consumer Defensive
CK.BK,CH. Karnchang Public Company Limited,Industrials
CKP.BK,CK Power Public Company Limited,Utilities
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive
CRC.BK,Central Retail Corporation Public Company Limited,Consumer Cyclical
DRT.BK,Diamond Building Products Public Company Limited,Industrials
EGCO.BK,Electricity Generating Public Company Limited,Utilities
GLOBAL.BK,Siam Global House Public Company Limited,Consumer Cyclical
GULF.BK,Gulf Energy Development Public Company Limited,Utilities
GUNKUL.BK,Gunkul Engineering Public Company Limited,Industrials
ICHI.BK,Ichitan Group Public Company Limited,Consumer Defensive
INTUCH.BK,Intouch Holdings Public Company Limited,Communication Services
IRPC.BK,IRPC Public Company Limited,Energy
KBANK.BK,Kasikornbank Public Company Limited,Financial Services
KKP.BK,Kiatnakin Phatra Bank Public Company Limited,Financial Services
KSL.BK,Khon Kaen Sugar Industry Public Company Limited,Consumer Defensive
MAJOR.BK,Major Cineplex Group Public Company Limited,Communication Services
MEGA.BK,Mega Lifesciences Public Company Limited,Healthcare
MINT.BK,Minor International Public Company Limited,Consumer Cyclical
OSP.BK,Osotspa Public Company Limited,Consumer Defensive
PTT.BK,PTT Public Company Limited,Energy
PTTEP.BK,PTT Exploration and Production Public Company Limited,Energy
PTTGC.BK,PTT Global Chemical Public Company Limited,Basic Materials
RATCH.BK,Ratch Group Public Company Limited,Utilities
RBF.BK,R&B Food Supply Public Company Limited,Consumer Defensive
RCL.BK,Regional Container Lines Public Company Limited,Industrials
SAMART.BK,Samart Corporation Public Company Limited,Communication Services
SCB.BK,The Siam Commercial Bank Public Company Limited,Financial Services
SCC.BK,The Siam Cement Public Company Limited,Basic Materials
SCCC.BK,Siam City Cement Public Company Limited,Basic Materials
SCGP.BK,SCG Packaging Public Company Limited,Consumer Cyclical
SPRC.BK,Star Petroleum Refining Public Company Limited,Energy
SSP.BK,Sermsang Power Corporation Public Company Limited,Utilities
STARK.BK,Stark Corporation Public Company Limited,Industrials
SUPER.BK,Super Energy Corporation Public Company Limited,Utilities
TASCO.BK,Tipco Asphalt Public Company Limited,Basic Materials
THCOM.BK,Thaicom Public Company Limited,Technology
THG.BK,Thonburi Healthcare Group Public Company Limited,Healthcare
TOP.BK,Thai Oil Public Company Limited,Energy
TSTH.BK,Tata Steel (Thailand) Public Company Limited,Basic Materials
TU.BK,Thai Union Group Public Company Limited,Consumer Defensive
UTP.BK,United Paper Public Company Limited,Basic Materials
