Symbol,Name,Sector
ADVANC.BK,Advanced Info Service Public Company Limited,Communication Services
AP.BK,AP (Thailand) Public Company Limited,Real Estate
BBL.BK,Bangkok Bank Public Company Limited,Financial Services
BCPG.BK,BCPG Public Company Limited,Utilities
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive
EGCO.BK,Electricity Generating Public Company Limited,Utilities
GUNKUL.BK,Gunkul Engineering Public Company Limited,Industrials
HANA.BK,Hana Microelectronics Public Company Limited,Technology
INTUCH.BK,Intouch Holdings Public Company Limited,Communication Services
KKP.BK,Kiatnakin Phatra Bank Public Company Limited,Financial Services
KTB.BK,Krung Thai Bank Public Company Limited,Financial Services
LH.BK,Land and Houses Public Company Limited,Real Estate
ORI.BK,Origin Property Public Company Limited,Real Estate
OSP.BK,Osotspa Public Company Limited,Consumer Defensive
PRM.BK,Prima Marine Public Company Limited,Energy
PTT.BK,PTT Public Company Limited,Energy
PTTEP.BK,PTT Exploration and Production Public Company Limited,Energy
QH.BK,Quality Houses Public Company Limited,Real Estate
RATCH.BK,Ratch Group Public Company Limited,Utilities
SCB.BK,The Siam Commercial Bank Public Company Limited,Financial Services
SCC.BK,The Siam Cement Public Company Limited,Basic Materials
SPALI.BK,Supalai Public Company Limited,Real Estate
TASCO.BK,Tipco Asphalt Public Company Limited,Basic Materials
TCAP.BK,Thanachart Capital Public Company Limited,Financial Services
THANI.BK,Ratchthani Leasing Public Company Limited,Financial Services
TISCO.BK,TISCO Financial Group Public Company Limited,Financial Services
TTB.BK,TMBThanachart Bank Public Company Limited,Financial Services
TU.BK,Thai Union Group Public Company Limited,Consumer Defensive
TVO.BK,Thai Vegetable Oil Public Company Limited,Consumer Defensive
WHA.BK,WHA Corporation Public Company Limited,Real Estate
