Symbol,Name,Sector
AOT.BK,Airports of Thailand Public Company Limited,Industrials
BCH.BK,Bangkok Chain Hospital Public Company Limited,Healthcare
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare
BEM.BK,Bangkok Expressway and Metro Public Company Limited,Industrials
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare
BJC.BK,Berli Jucker Public Company Limited,Industrials
BTS.BK,BTS Group Holdings Public Company Limited,Industrials
CBG.BK,abao Group Public Company Limited,Consumer Defensive
CENTEL.BK,Central Plaza Hotel Public Company Limited,Consumer Cyclical
CHG.BK,Chularat Hospital Public Company Limited,Healthcare
COM7.BK,Com7 Public Company Limited,Technology
CPALL.BK,CP ALL Public Company Limited,Consumer Defensive
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive
CRC.BK,Central Retail Corporation Public Company Limited,Consumer Cyclical
DOHOME.BK,Dohome Public Company Limited,Consumer Cyclical
GLOBAL.BK,Siam Global House Public Company Limited,Consumer Cyclical
HMPRO.BK,Home Product Center Public Company Limited,Consumer Cyclical
M.BK,MK Restaurant Group Public Company Limited,Consumer Cyclical
MEGA.BK,Mega Lifesciences Public Company Limited,Healthcare
MINT.BK,Minor International Public Company Limited,Consumer Cyclical
OSP.BK,Osotspa Public Company Limited,Consumer Defensive
PRM.BK,Prima Marine Public Company Limited,Energy
RBF.BK,R&B Food Supply Public Company Limited,Consumer Defensive
RS.BK,RS Public Company Limited,Communication Services
STA.BK,Sri Trang Agro-Industry Public Company Limited,Consumer Cyclical
THG.BK,Thonburi Healthcare Group Public Company Limited,Healthcare
TTA.BK,Thoresen Thai Agencies Public Company Limited,Industrials
TU.BK,Thai Union Group Public Company Limited,Consumer Defensive
TVO.BK,Thai Vegetable Oil Public Company Limited,Consumer Defensive
VIBHA.BK,Vibhavadi Medical Center Public Company Limited,Healthcare
