Symbol,Name,Sector
7UP.BK,Seven Utilities and Power Public Company Limited,Consumer Cyclical
AEC.BK,Beyond Securities Public Company Limited,Financial Services
AH.BK,AAPICO Hitech Public Company Limited,Consumer Cyclical
AI.BK,Asian Insulators Public Company Limited,Technology
AIT.BK,Advanced Information Technology Public Company Limited,Technology
AJ.BK,A.J. Plast Public Company Limited,Consumer Cyclical
ALT.BK,ALT Telecom Public Company Limited,Technology
AMANAH.BK,Amanah Leasing Public Company Limited,Financial Services
ANAN.BK,Ananda Development Public Company Limited,Real Estate
APCS.BK,Asia Precision Public Company Limited,Industrials
APURE.BK,Agripure Holdings Public Company Limited,Consumer Defensive
AS.BK,Asiasoft Corporation Public Company Limited,Communication Services
ASIAN.BK,Asian Sea Corporation Public Company Limited,Consumer Defensive
ASK.BK,Asia Sermkij Leasing Public Company Limited,Financial Services
ASP.BK,Asia Plus Group Holdings Public Company Limited,Financial Services
BA.BK,Bangkok Airways Public Company Limited,Industrials
BAFS.BK,Bangkok Aviation Fuel Services Public Company Limited,Industrials
BEAUTY.BK,Beauty Community Public Company Limited,Consumer Defensive
BGC.BK,BG Container Glass Public Company Limited,Consumer Cyclical
BWG.BK,Better World Green Public Company Limited,Industrials
CCET.BK,Cal-Comp Electronics (Thailand) Public Company Limited,Technology
CGD.BK,Country Group Development Public Company Limited,Real Estate
CGH.BK,Country Group Holdings Public Company Limited,Financial Services
CHAYO.BK,Chayo Group Public Company Limited,Financial Services
CTW.BK,Charoong Thai Wire and Cable Public Company Limited,Industrials
DDD.BK,Do Day Dream Public Company Limited,Consumer Defensive
DRT.BK,Diamond Building Products Public Company Limited,Industrials
EASTW.BK,Eastern Water Resources Development and Management Public Company Limited,Utilities
EKH.BK,Ekachai Medical Care Public Company Limited,Healthcare
EP.BK,Eastern Power Group Public Company Limited,Utilities
ERW.BK,The Erawan Group Public Company Limited,Consumer Cyclical
ETC.BK,Earth Tech Environment Public Company Limited,Utilities
GFPT.BK,GFPT Public Company Limited,Consumer Defensiv
GGC.BK,Global Green Chemicals Public Company Limited,Basic Materials
HFT.BK,Hwa Fong Rubber (Thailand) Public Company Limited,Consumer Cyclical
HTC.BK,Haad Thip Public Company Limited,Consumer Defensive
HUMAN.BK,Humanica Public Company Limited,Technology
III.BK,Triple i Logistics Public Company Limited,Industrials
ILM.BK,Index Living Mall Public Company Limited,Consumer Cyclical
ITD.BK,Italian-Thai Development Public Company Limited,Industrials
JKN.BK,JKN Global Media Public Company Limited,Communication Services
JR.BK,J.R.W. Utility Public Company Limited,Industrials
JWD.BK,JWD InfoLogistics Public Company Limited,Industrials
KAMART.BK,Karmarts Public Company Limited,Consumer Defensive
KGI.BK,KGI Securities (Thailand) Public Company Limited,Financial Services
KSL.BK,Khon Kaen Sugar Industry Public Company Limited,Consumer Defensive
LALIN.BK,Lalin Property Public Company Limited,Real Estate
LANNA.BK,Lanna Resources Public Company Limited,Energy
LOXLEY.BK,Loxley Public Company Limited,Industrials
LPH.BK,Ladprao General Hospital Public Company Limited,Healthcare
LPN.BK,L.P.N. Development Public Company Limited,Real Estate
MACO.BK,Master Ad Public Company Limited,Communication Services
MC.BK,MC Group Public Company Limited,Consumer Cyclical
MCOT.BK,MCOT Public Company Limited,Communication Services
MCS.BK,M.C.S. Steel Public Company Limited,Basic Materials
MICRO.BK,Micro Leasing Public Company Limited,Financial Services
MONO.BK,Mono Next Public Company Limited,Communication Services
NCAP.BK,Next Capital Public Company Limited,Financial Services
NER.BK,North East Rubbers Public Company Limited,Basic Materials
NEX.BK,Nex Point Public Company Limited,Technology
NNCL.BK,Nava Nakorn Public Company Limited,Real Estate
NOBLE.BK,Noble Development Public Company Limited,Real Estate
NUSA.BK,Nusasiri Public Company Limited,Real Estate
NVD.BK,Nirvana Daii Public Company Limited,Real Estate
