Symbol,Name,Sector
ADVANC.BK,Advanced Info Service Public Company Limited,Communication Services
AOT.BK,Airports of Thailand Public Company Limited,Industrials
BBL.BK,Bangkok Bank Public Company Limited,Financial Services
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare
BEM.BK,Bangkok Expressway and Metro Public Company Limited,Industrials
BGRIM.BK,B.Grimm Power Public Company Limited,Utilities
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare
BJC.BK,Berli Jucker Public Company Limited,Industrials
BTS.BK,BTS Group Holdings Public Company Limited,Industrials
CBG.BK,abao Group Public Company Limited,Consumer Defensive
COM7.BK,Com7 Public Company Limited,Technology
CPALL.BK,CP ALL Public Company Limited,Consumer Defensive
CPF.BK,Charoen Pokphand Foods Public Company Limited,Consumer Defensive
CPN.BK,Central Pattana Public Company Limited,Real Estate
CRC.BK,Central Retail Corporation Public Company Limited,Consumer Cyclical
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,Industrials
DTAC.BK,Total Access Communication Public Company Limited,Communication Services
EA.BK,Energy Absolute Public Company Limited,Utilities
EGCO.BK,Electricity Generating Public Company Limited,Utilities
GLOBAL.BK,Siam Global House Public Company Limited,Consumer Cyclical
GPSC.BK,Global Power Synergy Public Company Limited,Utilities
GULF.BK,Gulf Energy Development Public Company Limited,Utilities
HMPRO.BK,Home Product Center Public Company Limited,Consumer Cyclical
INTUCH.BK,Intouch Holdings Public Company Limited,Communication Services
IRPC.BK,IRPC Public Company Limited,Energy
IVL.BK,Indorama Ventures Public Company Limited,Basic Materials
KBANK.BK,Kasikornbank Public Company Limited,Financial Services
KCE.BK,KCE Electronics Public Company Limited,Technology
KTB.BK,Krung Thai Bank Public Company Limited,Financial Services
KTC.BK,Krungthai Card Public Company Limited,Financial Services
LH.BK,Land and Houses Public Company Limited,Real Estate
MINT.BK,Minor International Public Company Limited,Consumer Cyclical
MTC.BK,Muangthai Capital Public Company Limited,Financial Services
OR.BK,PTT Oil and Retail Business Public Company Limited,Energy
OSP.BK,Osotspa Public Company Limited,Consumer Defensive
PTT.BK,PTT Public Company Limited,Energy
PTTEP.BK,PTT Exploration and Production Public Company Limited,Energy
PTTGC.BK,PTT Global Chemical Public Company Limited,Basic Materials
RATCH.BK,Ratch Group Public Company Limited,Utilities
SAWAD.BK,Srisawad Corporation Public Company Limited,Financial Services
SCB.BK,The Siam Commercial Bank Public Company Limited,Financial Services
SCC.BK,The Siam Cement Public Company Limited,Basic Materials
SCGP.BK,SCG Packaging Public Company Limited,Consumer Cyclical
STA.BK,Sri Trang Agro-Industry Public Company Limited,Consumer Cyclical
STGT.BK,Sri Trang Gloves (Thailand) Public Company Limited,Basic Materials
TISCO.BK,TISCO Financial Group Public Company Limited,Financial Services
TOP.BK,Thai Oil Public Company Limited,Energy
TRUE.BK,True Corporation Public Company Limited,Communication Services
TTB.BK,TMBThanachart Bank Public Company Limited,Financial Services
TU.BK,Thai Union Group Public Company Limited,Consumer Defensive
